,작성자ID,리뷰
0,@usun820,0:46 성공해서 진짜 참치먹자고 하니 동시에 끄덕끄덕 ㅋㅋㅋㅋㅋㅋ
1,@user-sl6ti5py7j,"00:47 진짜 참치먹자니까 ㅋ
고개 끄덕이는줄알고 놀랬네ㄷㄷ"
2,@kimhoochoo,"영상 음향이 허전하다 했더니 여집사님 웃음소리가 줄었네요? 내 웃음벨 내놔 ㅎㅎㅎㅎ
고양이 세마리 참치 먹방 잘보았습니다"
3,@user-qt6ri8fn6e,"얼마안되는 영상으로 10만이넘는거면 진짜 ㅋㅋㅋㅋㅋ 말하는거에 재능이있는거에요.. 
너무재밌고 애들두 예쁘구 ㅠㅠ 거기다 이채널이 너무호감인게 이쁜냥이들 사는게아니라 
스트릿냥이들이라는거..."
4,@srk6808,00:47 진짜 참치 먹자니까 고개 끄덕끄덕 하는거나 다른쇼츠 보면 때밀이영상 이라든지 왠지  커뮤니케이션이 되는 것 같아서 신기함ㅋㅋㅋ
5,@팡팡플러스,"무관심하지만 영상에 큰~~도움주는 송박춘봉,송김첨지ㅋㅋㅋ그게 매력이다~ 냥냥이들"
6,@user-tx5un9uo1n,"아빠가 뭘하든 말든
먹기 바쁜  냥이들 ㅋㅋㅋㅋㅋㅋㅋㅋ "
7,@user-yq4kh1py9k,내가 왜 구독 눌렀는지 모르겠는데 본거 또 보고 또 봐도 재밌네ㅋㅋㅋ 미치겠네ㅋㅋ
8,@user-xj4sk8jz4t,정신병동 환자복 너무 좋아요~
9,@user-nm2go2gu6e,냥이들 넘나 순둥순둥 귀여워요
10,@user-iz6fq7hx2m,얘들아ᆢ 아빠한테 신경좀 써주자ᆢ저렇게 혼잣말 하다 진짜 병원 끌려가시것다ᆢ
11,@_happy2hearts,다음엔 춘봉&첨지랑 청정바다에서 갓 잡아올린 참치 뱃살 꼭 드시길 기원하며... 쪼까 보탭니다잉
12,@user-cu8cz5wi3u,냥이들 넘 순하고 귀엽네요. 사랑둥이들
13,@user-zc3ty4wb4t,"울냥이들 더 쩝쩝거리면서 먹음좋겠어요
너무 소리안내고 먹잖아요 
참치캔 신드롬일으키자구여~~
울냥이들 참치캔 광고 들어오게로... 안정된 공무원은 못되도  대기업  취직시켜야죠ㅋㅋ"
14,@user-dw7qr1ws6x,1:56 이제집사까지 귀여워보이노..스며들었나 ㄷㄷㅋㅋㅋㅋ ㅋ
15,@user-zz7hz2hr4c,보기도전에 기대됩니다 ㅎㅎ ㅎㅎ
16,@user-ro2xj9cu1d,"ㅋㅋㅋㅋ 냥이들 넘귀요미들~~
집사님 넘 웃겨서 좋아용~~
오늘은 왜 여집사님 웃음소리가 없나요~??
그웃는소리에 더 욱겨서 같은 웃는딩~"
17,@arcanaami,"냥이들도 넘귀욥고,
남집사는 넘 웃기고,
환자복 ㅋㅋㅋㅋㅋ"
18,@user-ht5qn5uz5p,"냥이들을
너무너무
사랑해주시니
집사님춘봉이아빠
천사이십니다
이프로
기다려져요"
19,@user-ow9vo1kp4f,먹는  소리가 사각사각 귀여워용ㅎ
20,@user-dj1si7wf4e,"박춘봉이 집사님  뭐라고 그러하거나  계속 냠냠.ㅋㅋㅋ
요즘 춘봉첨지 집사님들 보는
재미에 사라요~ 꿀잼."
21,@user-xs8pw4rc4o,애들 잘먹네요 귀염둥이들 ㅎㅎ
22,@user-hc9vg9ii4p,미춌따ㅋㅋㅋ고양이 asmr이라니ㅋ진짜 맛있게 먹는다!!역시 이채널은 첨지춘봉덕!!
23,@user-rg5wn9ez5n,"첨지랑 춘봉이 거기에 집사님들까지~
언제나 다들 있는 자리에서 최선을 다 하시는 모습이 좋아요^^"
24,@user-jk3dc3fm9h,아빠집사님 환자복 입고 있으니까 춘봉첨지 애기들 밥 뺏어먹는거 같아요ㅋㅋㅋㅋㅋ
25,@user-yq3ws4fu8r,냥이들 쩝쩝대는 소리는 얼마나 사랑스러운데요~총선결과 첨지와 춘봉이가 예측하는 영상도 재미있겠네요ㅋㅋㅋ 논란이 될수도ㅋㅋㅋㅋ
26,@hykim9827,0:47 진짜참치먹자~  알았지????   춘봉첨지: 끄덕끄덕 ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ
27,@yourhh,고양이들이 뭐 물어보면 타이밍 딱맞춰서 고개 끄덕끄덕해주네 ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ
28,@1961rtyu,먹는소리가 정겹게 느껴짐. 나도 참치가 먹고싶다
29,@user-ph3fe5kt5x,늘 기대하고 있어요. 볼때마다 기분이 좋아집니다. 홧팅하세여 
30,@user-ek6gz2xz5o,"첨지 춘봉 아버지 
그 병원옷은 어디서 ~^^;;;;
내가 입원 했던 그 병원복 하고 비슷하네요 ㅎ
편하고 부러워서 물어봅니다.ㅎ
글구 요즘 이 영상 보는 재미로 삽니다~~
얼렁 목표치로 떡 상 하시길~"
31,@user-dp5md8dy3j,아!!! 똑같이 캔참치 준비한 아빠... 춘봉+첨지도 참치에 츄르뿌려줬어야되는데...아빠 실수
32,@user-gy9fg9yn5n,와잎분 웃음 참으며 촬영 아니 구경?하는게 더 힘든 먹방
33,@salt5951,내 안먹인줄 알잖아~ㅋㅋ진짜 참치먹자~~끄더끄덕~ 다 알아 듣넹
34,@kong-oh4jq,"집사님 알라뵹 ㅋㅋ
구독자 100만 가자~~아 "
35,@user-zx5ci6yw1o,숏츠로 자주 보고 있는데 고양이를 넘 사랑하시는거 같아요
36,@lunakim8965,ㅋㅋㅋㅋㅋㅋㅋㅋ 미치겠다 진짜 ㅋㅋㅋㅋㅋㅋㅋㅋ 어제 10만명 이었는데 하루만의 12만명 ㅋㅋㅋㅋㅋㅋ
37,@user-sq2fm9pw2q,힐링 입니다 사랑입니다 야야야 이쁜 냥이들 아빠좀도와줘~
38,@user-wh2ue2gp4t,환자복 ㅋㅋ 냥이들 귀여움은 덤이요 !!
39,@user-qs3hg5vh8x,"우왓 ㅋㅋㅋㅋ오늘도 빵터짐ㅋㅋ
넘 재밌어요ㅋㅋ냥이들도 넘 귀욤♡"
40,@8-fn2bc,"아직 마요네즈 뿌려먹을때가 아닌데 ㅋㅋㅋㅋ더 성공해야하는데~ㅋㅋㅋ
아직 월클아닌데ㅋㅋㅋㅋㅋㅋㅋㅋ
아~~진짜 좋아
너무 잼이떠~"
41,@user-mj2me1rp3z,"1:29 그냥 보기만 해도 빵터지네요.
아빠 말임다.
웃을 일 없는 요즘 큰 웃음 주셔 감사요^^"
42,@user-fm4xi8xl1x,볼때마다 너무 즐겁네요 아빠랑 얘들이랑 너무 사랑스러워요
43,@sw_karae,ㅋㅋㅋㅋㅋㅋㅋ집사님 잔소리왜케많아요ㅋㅋㅋㅋㅋㅋㅋ 보기좋아요
44,@user-nb9xg7ny6k,진짜 너무 좋아요ㅋㅋㅋㅋ
45,@maejun_kitsune,"진짜 참치 가보자고~
애옹이들 asmr 먹방 감사합니다"
46,@user-qh5xw2zi5c,볼때마다 웃어요 ~~
47,@foodhotplace,참치 앞에 두고 같이 먹는 썸넬 보자마자 빵터진 1인이요 오늘도 집사님 폼 미쵸따링링
48,@zq1zq2417,애기들 쩝쩝소리 너무 귀엽네요
49,@user-su1lc7qd9s,숏츠로 알게되서 동영상도 봤습니다 너무 웃겨서 배꼽빠질거같습니다 구독&좋아요 꾹꾹도장 했습니다~
50,@user-rz6lk9iz8c,아이고냥이집사님 ~왜이리 짠해보이는지요 ㅜㅜ  넘 수고가 많으십니다
51,@user-kt1ek9cy5t,ㅋㅋㅋ 집사님 너무웃겾ㅋㅋ 집사님 말 안듣는 냥이들
52,@dbbeck7733,"백만 금방가겠다
하빈이형의 전성기"
53,@flowla97,쩝쩝 소리도 사랑스러운 고양이들이란...ㅎㅎㅎㅎ 근데 캔 참치만 먹기엔 좀 짜지 않아요?? ㅋㅋㅋㅋㅋㅋㅋㅋㅋ
54,@drphilgrim,"아가들아 늬네 아빠 참치먹는 소리 정말 귀엽따 
이집은 주인님이 친절하고 집사가 귀엽네"
55,@user-rp6nq5im2e,아넘웃겨여ㅠㅠ쌍따봉드리고싶은데 따봉이왜하나인지ㅋㅋㅋㅋ
56,@user-de1sp8ww8k,정신줄~~ 잡고 먹어라 송박첨지 송김첨지ㅋㅋㅋ ㅋㅋ
57,@user-dt1ik2gf4g,송박첨지씨 진짜 매력 너무 넘쳐요 글고 사조나 동원참지 빨리 여기 광고 넣어주세요!!!
58,@yoonsara,"못살아 ㅎㅎㅎㅎ 너무 좋아 ㅋㅋㅋ
좀 길게 찍어줘요 ㅜㅠㅠ"
59,@YuNiLiFe,냥집사님도 같이 참치 먹방이라니 ㅋㅋㅋㅋ너므 재밌어용ㅋㅋㅋㅋ오늘 여집사님 웃음소리는 안들려서 아쉽네욤ㅋㅋㅋㅋㅋ
60,@user-jh3wv3us3q,ㅋㅋㅋㅋㅋ 넘 재미있어요 
61,@ido_jbj3521,"0:47   ""얼른 성공해서 진짜 참치먹자"" 하니까 둘 다 머리 끄덕임ㅋㅋㅋㅋㅋㅋㅋ"
62,@lesdix999,"진짜참치먹자 할때 아이들 끄덕끄덕하면서 먹는것같은 느낌
기분탓인가 ."
63,@regreg2370,오마나 나도 모르게  팬됐어요~
64,@The22111,세상 이웃에게 배려하시는 집사님~들~응원할게요~
65,@user-eb8ke1fq1n,정말 영상보고 재미를 느껴요 고양이대해서 잘모르지만 잘딸아주고 주인을 좋은거같아요  ^^감사합니다 웃음을주셔서요 부러워요
66,@user-en5nw9cp2u,"아빠가 떠들던 말던지 고개한번 안들고 맛있게먹네ㅋㅋ
많은 영상을 보니 집사님 냥이들은 얌전한 모습만 있나요? 
아님.. 아빠가 깨방정? 이니 냥이들이 조용해 주는건지..ㅋㅋ"
67,@user-xx4se7cf5n,네분때문에 요즘 넘마니웃고잇어요 감사해요
68,@user-vz6en9wz2s,냥이들 숨소리랑 챱챱소리 너무좋아요 ㅠㅠㅋㅋㅋㅋ 10분짜리로 만들어주세요🥹
69,@user-wt6zd4ij3i,먹는모습 넘 귀여운 아가들.
70,@user-do3ss8rk1t,"넘 우껴요ㅋㅋㅋ
시트콤 보는것같아요
웃음바이러스 주셔서 감사해요ㅎㅎ
님 짱인듯  
냥이들도 넘 귀욤"
71,@user-il8lz4dr3o,집사님이 넘  귀엽네요!
72,@user-dy2zc7pg2z,너무 사랑스럽고 힐링됩니다
73,@user-eo9ko8xi4v,송집사님 본명이신지요~~~이름이 너무 잘생긴거 아입니까~~~~~^^
74,@user-rx3rl7uw6j,냥이들이 연기가 보통 아니구먼
75,@user-tf2jq7ub1v,진짜 참치먹자 ㅎ
76,@user-fy5po6hc2c,"아니,,,이분..진짜 미치게 잼있음~ 아니 진짜 어디서 나타나신거임~ㅋㅋㅋㅋㅋ
매일영상 올려주세요~봤던거또보고 또보고..개중독됨요~!!ㅋ"
77,@life-sook,"사랑스런 귀요미들 먹방 ~ 
냠냠쩝쩝 그렇게 맛있니~
집사님도 넘 웃기고 사랑스럽네요~
턱시도 냥이들이 좀 시크하죠~
오늘 영상 아주 재미있게 봤어요~
즐거운 주말되세요~"
78,@maymam9868,"ㅋㅋㅋㅋㅋㅋ 제 마음의 소리가 들어간 줄 ㅋㅋ
“왜저래 ㅋㅋㅋㅋㅋ” ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ"
79,@user-cy6gm4sz4m,0:44 아빠 얘기에 끄덕끄덕
80,@user-bj9ks3wi4n,"ㅋㅋㅋㅋ 
오늘은 먹방 쇼~~^^"
81,@user-nb9ut8ez1c,0:48 냥이들이 알았다고 고개 끄덕이는 것 같아요ㅋㅋㅋㅋ
82,@Cat_AmaRone,"참치뱃살 먹방 조만간 갈거같은데요.
일단 20만 찍고 100만 가즈아!"
83,@user-qo5bb8tf5p,이렇게   재밋는  남자를  만났어야  했는데 ㅋㅋㅋ 내가 웃겨주고 있으니  참  웃프네요
84,@maripark4105,"쇼츠 넘재밌어 구독 눌렀어요ㅋㅋ
츄르,사료말고 열빙어같은  맛난거 먹는 모습도 보고싶어요~~!!!"
85,@user-mg4we3kl4d,ㅋㅋㅋㅋ집사님한테는 여전히 무관심인 귀여운 냥이들~~~
86,@user-ct4qu6oc4k,입술이 아주 매력적이네요
87,@user-ut3jv9ht3c,자식들이랑 참치먹방 아주 보기 좋아요
88,@tv_5catstv105,인스타로 다 봐서 유튜브까진 안볼라했는데 유튜브로 봐도 넘나 재미짐요
89,@용백호,"쩝쩝됨 논란뜬데 아진짜ㅋㅋㅋㅋㅋㅋ
구독박고 웃고갑니다ㅋㅋㅋ"
90,@Endureing,0:48 왜 ㅋㅋㅋㅋ 진짜 그 타이밍에 고개 끄덕이냐고 ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ 둘다
91,@Taniyoon33,여집사님도 asmr로 웃는거 귀엽닼ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ
92,@user-ww8nv5jr9n,야옹이들 챱챱 먹는소리 너무너무 귀여워요
93,@user-ml2di6hn7v,여기 요새 개웃김 하루하루 구독자 늘어나서 내 웃음이 틀리지 않음을 암
94,@user-hj8wl8lc5t,송김첨지 송박춘봉 이거 너무 웃김ㅋㅋㅋㅋㅋㅋ 참치마요네즈 비비는거 보여주는거 너무 귀엽다 집사님ㅋㅋㅋㅋ
95,@user-eo9mq5tm5z,"숏츠가 절 여기로 인도했어요
애들이랑 아버님 케미가 끝내주네요"
96,@jinheekim7637,"집사님~
배고프셨죠~?
ㅋㅋㅋㅋㅋㅋㅋ ㅋㅋㅋㅋㅋㅋㅋ "
97,@user-tq9rv8wx8u1,"유튜브 집사계 유해진님, 영상 잘보고 있어요. 요즘 님 영상보고 깔깔 웃고 있어요..유쾌한 영상 감사해용"
98,@ksjhoo,아무말도 못하는 두 고양이와 어쩜 그렇게 상황극을 잘 만들어가세요? 재밌게 잘 보고 있습니다 ^_^
